,x,y,x_km,y_km,Station_Name,City
69,-79.381974,43.647089,-8836.880727654,4844.826879,FLO - Cadillac Fairview - TD Center,Toronto
70,-79.383059,43.655071,-8837.001510939,4845.712881,FLO - Cadillac Fairview - Toronto Eaton Centre,Toronto
71,-79.567274,43.656569,-8857.508508953999,4845.879159,Baka Mobile - Head Office,Toronto
72,-79.588791,43.677999,-8859.903802911,4848.257889,30 International Blvd.,Toronto
73,-79.598359,43.71768,-8860.968922239,4852.66248,Woodbine Racetrack,Toronto
74,-79.34423,43.736447,-8832.67902783,4854.745617,FLO - Cadillac Fairview -  Shops at Don Mills,Toronto
75,-79.318533,43.74079,-8829.818412093,4855.22769,International Brotherhood of Electrical Workers Local 353,Toronto
76,-79.38256,43.645275,-8836.94596176,4844.6255249999995,ImPark - Citibank Building,Toronto
77,-79.387849,43.645863,-8837.534738529,4844.690793,ImPark - Metro Centre,Toronto
78,-79.30173,43.722361,-8827.94788533,4853.182071,Eglinton Square Shopping Centre,Toronto
79,-79.378999,43.64065,-8836.549547678998,4844.11215,Waterpark Place,Toronto
81,-79.385065,43.658226,-8837.224820865,4846.063086,ImPark - Lucliff Place,Toronto
82,-79.516061,43.646766,-8851.807426581,4844.791026,Humberview Chevrolet,Toronto
84,-79.407214,43.7635766,-8839.690469694,4857.7570026,CECSTATION1,Toronto
85,-79.695308,43.482363,-8871.761381868,4826.5422929999995,Upper Oakville Shopping Centre,Toronto
86,-79.47197,43.67043,-8846.89917237,4847.41773,Ontario Charging Network LP,Toronto
88,-79.338148,43.716455,-8832.001973508,4852.526505000001,Ontario Science Centre,Toronto
90,-79.334891,43.770485,-8831.639401011,4858.523835,Audi Midtown Toronto,Toronto
91,-79.392935,43.644635,-8838.100917135,4844.554485,SoHo Metropolitan - Tesla Destination,Toronto
92,-79.38955,43.659458,-8837.72409555,4846.199838,MaRS Discovery District - Tesla Destination,Toronto
93,-79.379805,43.64996,-8836.639272405,4845.14556,Scotia Plaza - Tesla Destination,Toronto
94,-79.404674,43.654446,-8839.407714354,4845.643506,UHN - Toronto Western Hospital - Leonard Ave Garage - Tesla Destination,Toronto
95,-79.386484,43.659347,-8837.382785364,4846.187516999999,UHN - Toronto General Hospital - Elizabeth St Garage - Tesla Destination,Toronto
96,-79.22703,43.785275,-8819.63220663,4860.165524999999,Centennial College SETAS/AMAT Solar Carport Lot 5 - Tesla Destination,Toronto
97,-79.399279,43.704082,-8838.807137559,4851.153102,Canada Square - Oxford Properties Group - Tesla Destination,Toronto
99,-79.385383,43.646361,-8837.260220943,4844.746071,180 WELLINGTON,Toronto
100,-79.4000036,43.7079042,-8838.8878007556,4851.5773662,Y&E P1 DUAL,Toronto
101,-79.3806434,43.6414401,-8836.7326039314,4844.199851099999,ONE YORK STREET,Toronto
102,-79.338669,43.717596,-8832.059971748999,4852.653156,ONT SCI CENTRE,Toronto
103,-79.3620076,43.646362,-8834.6580480396,4844.746182000001,AQUALINABAYSIDE,Toronto
104,-79.3978741,43.6589803,-8838.650742686099,4846.146813300001,UOT-ST.GEORGE,Toronto
106,-79.381656,43.642353,-8836.845327576,4844.301183,Cadillac Fairview - 16 York,Toronto
107,-79.334041,43.653947,-8831.544778161,4845.588117,RoS - 500 Commissioners St,Toronto
108,-79.418347,43.649234,-8840.929806387,4845.064974,RoS - 248 Shaw St,Toronto
109,-79.328192,43.66514,-8830.893661632,4846.83054,RoS - 43 Alton Ave,Toronto
110,-79.327134,43.681064,-8830.775884014,4848.598104,RoS - 124 Mountjoy Ave,Toronto
111,-79.4390409,43.6711371,-8843.2334720289,4847.4962181,Toronto Community Housing,Toronto
115,-79.2830523,43.771699,-8825.8686650883,4858.658589,Kennedy Commons,Toronto
116,-79.4825385,43.6862558,-8848.0756683585,4849.1743938,Waypoint Convenience Keelsdale,Toronto
117,-79.2684397,43.7891013,-8824.2419758437,4860.5902442999995,UHEALTH2101,Toronto
118,-79.4698672,43.7783806,-8846.6650865712,4859.4002466,TRIDEL EV,Toronto
119,-79.3151459,43.7254186,-8829.4413567339,4853.5214645999995,E GOLF STATIONS,Toronto
120,-79.4576067,43.7330616,-8845.300235450699,4854.3698376,YORKDALE VW,Toronto
121,-79.364432,43.653539,-8834.927934672,4845.542829,ADELAIDE,Toronto
122,-79.4759127,43.7675186,-8847.338077676699,4858.1945646,EVDC PLUGNDRIVE,Toronto
126,-79.2852377,43.7278678,-8826.1119460017,4853.7933258,KINGSCROSS,Toronto
